㐀 QIU
㐁 TIAN
㐄 KUA
㐅 WU
㐆 YIN
㐌 SI
㐖 YE
㐜 CHOU
㐡 NUO
㐤 QIU
㐨 XU
㐩 XING
㐫 XIONG
㐬 LIU
㐭 LIN
㐮 XIANG
㐯 YONG
㐰 XIN
㐱 ZHEN
㐲 DAI
㐳 WU
㐴 PAN
㐷 MA
㐸 QIAN
㐹 YI
㐺 ZHONG
㐻 NEI
㐼 CHENG
㑁 ZHUO
㑂 FANG
㑃 AO
㑄 WU
㑅 ZUO
㑇 ZHOU
㑈 DONG
㑉 SU
㑊 YI
㑋 JIONG
㑌 WANG
㑍 LEI
㑎 NAO
㑏 ZHU
㑔 XU
㑘 JIE
㑙 DIE
㑚 NUO
㑛 SU
㑜 YI
㑝 LONG
㑞 YING
㑟 BENG
㑣 LAN
㑤 MIAO
㑥 YI
㑦 LI
㑧 JI
㑨 YU
㑩 LUO
㑪 CHAI
㑮 HUN
㑯 XU
㑰 HUI
㑱 RAO
㑳 ZHOU
㑵 HAN
㑶 XI
㑷 TAI
㑸 AI
㑹 HUI
㑺 JUN
㑻 MA
㑼 LÜE
㑽 TANG
㑾 XIAO
㑿 TIAO
㒀 ZHA
㒁 YU
㒂 KU
㒃 ER
㒄 NANG
㒅 QI
㒆 CHI
㒇 MU
㒈 HAN
㒉 TANG
㒊 SE
㒌 QIONG
㒍 LEI
㒎 SA
㒑 HUI
㒒 PU
㒓 TA
㒔 SHU
㒖 OU
㒗 TAI
㒙 MIAN
㒚 WEN
㒛 DIAO
㒜 YU
㒝 MIE
㒞 JUN
㒟 NIAO
㒠 XIE
㒡 YOU
㒤 SHE
㒦 LEI
㒧 LI
㒩 LUO
㒫 JI
㒰 QUAN
㒲 CAI
㒳 LIANG
㒴 GU
㒵 MAO
㒷 GUA
㒸 SUI
㒻 MAO
㒼 MAN
㒾 SHI
㒿 LI
㓁 WANG
㓂 KOU
㓃 CHUI
㓄 ZHEN
㓈 BING
㓉 HUAN
㓊 DONG
㓋 GONG
㓎 LIAN
㓏 JIONG
㓐 LU
㓑 XING
㓓 NAN
㓔 XIE
㓖 BI
㓗 JIE
㓘 SU
㓜 YOU
㓝 XING
㓞 QI
㓠 DIAN
㓡 FU
㓢 LUO
㓣 QIA
㓤 JIE
㓧 YAN
㓨 CI
㓪 LANG
㓭 HE
㓯 LI
㓰 HUA
㓱 TOU
㓲 PIAN
㓴 JUN
㓵 E
㓶 QIE
㓷 YI
㓸 JUE
㓹 RUI
㓺 JIAN
㓼 CHI
㓽 CHONG
㓾 CHI
㔀 LÜE
㔂 LIN
㔃 JUE
㔄 SU
㔅 XIAO
㔆 CHAN
㔉 ZHU
㔊 DAN
㔋 JIAN
㔌 ZHOU
㔍 DUO
㔎 XIE
㔏 LI
㔑 CHI
㔒 XI
㔓 JIAN
㔕 JI
㔗 FEI
㔘 CHU
㔙 BANG
㔚 KOU
㔜 BA
㔝 LIANG
㔞 KUAI
㔠 HE
㔢 JUE
㔣 LEI
㔤 SHEN
㔥 PI
㔦 YANG
㔧 LÜ
㔨 BEI
㔩 E
㔪 LU
㔭 CHE
㔮 NUO
㔯 SUAN
㔰 HENG
㔱 YU
㔳 GUI
㔴 YI
㔵 XIAN
㔶 GONG
㔷 LOU
㔹 LE
㔺 SHI
㔼 SUN
㔽 YAO
㔾 JIE
㔿 ZOU
㕁 QUE
㕂 YIN
㕄 ZHI
㕅 JIA
㕆 HU
㕇 LA
㕈 HOU
㕉 KE
㕋 JING
㕌 AI
㕎 E
㕏 CHU
㕐 XIE
㕑 CHU
㕒 WEI
㕕 HUAN
㕖 SU
㕗 YOU
㕙 JUN
㕚 ZHAO
㕛 XU
㕜 SHI
㕟 KUI
㕡 HE
㕢 GAI
㕣 YAN
㕤 QIU
㕥 YI
㕦 HUA
㕨 FAN
㕩 ZHANG
㕪 DAN
㕫 FANG
㕬 SONG
㕭 AO
㕮 FU
㕯 NEI
㕰 HE
㕱 YOU
㕲 HUA
㕴 CHEN
㕵 GUO
㕶 EN
㕷 HUA
㕸 LI
㕹 FA
㕺 HAO
㕻 POU
㕽 SI
㖀 LE
㖁 LIN
㖂 YI
㖃 HOU
㖅 XU
㖆 QU
㖇 ER
㖏 NEI
㖐 WEI
㖑 XIE
㖒 TI
㖓 HONG
㖔 TUN
㖕 BO
㖖 NIE
㖗 YIN
㖞 WAI
㖟 SHOU
㖠 BA
㖡 YE
㖢 JI
㖣 TOU
㖤 HAN
㖥 JIONG
㖦 DONG
㖧 WEN
㖨 LU
㖩 SOU
㖪 GUO
㖫 LING
㖭 TIAN
㖮 LUN
㖶 YE
㖷 SHI
㖸 XUE
㖹 FEN
㖺 CHUN
㖻 ROU
㖼 DUO
㖽 ZE
㖾 E
㖿 XIE
㗁 E
㗂 SHENG
㗃 WEN
㗄 MAN
㗅 HU
㗆 GE
